chunk_id,contract_id,clause_code,clause_title,clause_category,party_focus,risk_flag,source_section,chunk_text_for_embedding,related_amount_field,priority_for_review
c001,CTR-2026-DEMO-001,DEF,定义与解释,通用,双方,低,第1条,"本合同中，""工作日""指中华人民共和国法定工作日；""验收""指甲方依据本合同及附件约定的标准对交付物进行检验并出具书面结论的行为。",,
c002,CTR-2026-DEMO-001,SUB,标的与规格,标的,乙方,中,第2条,"乙方向甲方供应【产品/服务名称】，规格、数量、单价以双方确认的订单或附件《采购清单》为准。任何超出清单范围的增项须经甲方书面确认。",amount_ex_tax,高
c003,CTR-2026-DEMO-001,PRICE,价格与税费,财务,双方,高,第3条,"合同价款为不含税价，增值税按适用税率另行计取；如遇国家税率政策调整，不含税价不变，税金按新政策执行。价格包含包装、运输、保险、安装调试（如适用）等乙方履行义务所需的全部费用。",amount_ex_tax,高
c004,CTR-2026-DEMO-001,PAY,付款条件,财务,甲方,高,第4条,"甲方在收到乙方开具的合规增值税专用发票及双方签署的验收合格证明后【30】个自然日内付款。乙方账户信息以本合同约定为准，甲方不对错误账户付款承担责任。",amount_inc_tax,高
c005,CTR-2026-DEMO-001,DEL,交付与验收,履约,乙方,中,第5条,"乙方应按订单约定时间交付。甲方应在收到交付物后【10】个工作日内完成验收；逾期未提出书面异议视为验收合格，法律法规或强制性标准另有规定的除外。",,中
c006,CTR-2026-DEMO-001,WAR,质量保证,履约,乙方,中,第6条,"乙方保证交付物符合合同约定及国家/行业标准，质保期为验收合格之日起【12】个月。质保期内因质量问题产生的维修、更换费用由乙方承担。",,中
c007,CTR-2026-DEMO-001,LIA,责任限制,风险,双方,高,第7条,"除因故意或重大过失、保密义务违反、知识产权侵权、人身损害等依法不可限制情形外，任何一方对本合同项下的间接损失、利润损失、商誉损失不承担责任；一方对另一方的累计赔偿责任以本合同总价款为上限。",amount_inc_tax,高
c008,CTR-2026-DEMO-001,FM,不可抗力,通用,双方,低,第8条,"因地震、洪水、疫情管控、战争、政府行为等不可抗力导致不能或延迟履行的，受影响方应及时通知对方并提供合理证明，在合理范围内免除相应责任，但应尽最大努力减轻损失。",,低
c009,CTR-2026-DEMO-001,TERM,合同终止,履约,双方,中,第9条,"任何一方重大违约且在收到书面通知后【15】日内未补救的，守约方有权解除合同并要求违约方赔偿直接损失。合同解除不影响结算、保密、知识产权、争议解决等条款效力。",,中
c010,CTR-2026-DEMO-001,LAW,法律适用与争议解决,合规,双方,中,第10条,"本合同适用中华人民共和国法律。因本合同引起的争议，双方协商不成的，提交【甲方所在地】有管辖权的人民法院诉讼解决。",,中
c011,CTR-2026-DEMO-002,SCOPE,服务范围与交付物,标的,乙方,中,第2条,"乙方为甲方提供【系统运维/咨询服务】，具体工作内容、交付物、服务级别（SLA）以附件《工作说明书（SOW）》为准。未经甲方书面同意，乙方不得将核心服务整体转包。",amount_ex_tax,高
c012,CTR-2026-DEMO-002,SEC,信息安全与保密,合规,乙方,高,第6条,"乙方在履行本合同过程中可能接触甲方数据与商业秘密，应遵守甲方信息安全制度，采取合理技术与组织措施，未经甲方授权不得向第三方披露或用于本合同以外目的。违反保密义务的，甲方有权立即终止合同并追究损失赔偿。",,高
c013,CTR-2026-DEMO-002,SUBP,分包与驻场人员,合规,乙方,高,第7条,"乙方驻场人员应通过甲方背景审查与入场培训；乙方对分包商的行为向甲方承担连带责任。人员变更须提前【5】个工作日通知并取得甲方同意。",,高
