policy_id,policy_domain,applies_to_contract_type,severity,trigger_keywords,control_objective,policy_text_for_embedding,required_evidence,escalation_role
POL-FIN-001,财务合规,采购合同;服务合同,高,"预付;全额预付;验收前支付100%;先款后货;先款后服务",付款风险,原则上应避免无担保的高比例预付或验收前支付100%。如业务确需预付，应要求乙方提供保函/履约保证金/等额担保，并在合同中设置里程碑验收与分期付款（或对预付部分设置抵扣/退还机制），降低资金占用与履约风险。,付款计划表;担保文件;业务必要性说明;里程碑/验收约定,财务负责人
POL-FIN-002,财务合规,采购合同;服务合同,中,"背靠背;以第三方付款为前提;收到上游付款后再付款;以客户回款为条件",现金流与确认,背靠背付款可能导致现金流与费用/成本确认错配，并将上游风险转嫁给公司。原则上不接受“以第三方付款为付款条件”的刚性约束；如确需采用，应明确付款条件、回款失败的替代路径与争议处理，并评估会计确认与坏账风险，必要时要求上游提供担保或改为可执行的分期节点。,上游合同/订单摘录;会计处理意见;替代付款条款,财务经理
POL-FIN-003,财务合规,采购合同;服务合同,高,"个人收款;私人账户;收款账户变更;第三方代收;挂靠",收款合规与反舞弊,付款应仅向合同相对方的对公账户支付。涉及第三方代收、收款账户频繁变更或要求向个人账户付款的，视为高风险信号；需核验主体资质、开户信息与受益所有人信息，并由财务/法务审批通过后方可执行。,收款账户证明;主体资质/营业执照;受益所有人说明;变更函,财务负责人/法务
POL-FIN-004,财务合规,采购合同;服务合同,中,"保证金;质保金;留置;扣款;抵扣",资金安全与争议控制,涉及保证金/质保金/扣款抵扣时，应明确金额比例、扣留条件、返还时间与触发事件，并约定争议解决与凭证要求，避免形成长期占款或返还争议。,保证金/质保金条款截图;返还条件说明;验收/缺陷证明,财务经理
POL-FIN-005,财务合规,采购合同;服务合同,中,"违约金;逾期付款违约金;LPR;利息;滞纳金",资金成本与对等性,违约金与利息条款应对等、可执行且与合同金额匹配。对“逾期付款高额违约金/滞纳金”应评估对公司资金成本影响并与业务协商调整上限或触发条件。,违约金条款截图;测算说明,财务经理
POL-FIN-006,财务合规,采购合同;服务合同,高,"价格可调;调价机制;随行就市;单方调价;指数联动",价格控制与预算,存在调价机制时，需明确调价触发条件、周期、计算公式与上限，并与预算/采购审批保持一致。对“乙方单方调价”或缺少上限的条款应要求补充约束或改为双方确认。,调价条款截图;审批记录/预算依据;价格指数来源,财务负责人/采购负责人
POL-FIN-007,财务合规,采购合同;服务合同,中,"币种;汇率;外币结算;汇率波动",汇率与结算风险,外币结算应明确币种、汇率确定规则、结算日与费用承担（手续费/中间行费），并评估汇率波动风险；必要时约定对冲或设置波动区间与调整机制。,结算条款截图;汇率规则说明;对冲/风险评估,财务负责人

POL-TAX-001,税务合规,采购合同;服务合同,高,"含税价;不含税;发票类型;税率;征收率",进项抵扣与发票合规,合同应明确不含税金额、适用税率/征收率、发票类型（增值税专用发票/普通发票）与开票信息。对混合销售、差额计税、跨境服务等特殊情形，应明确税务处理边界与责任分担，避免发票与交易实质不符或影响抵扣。,税务条款截图;税率政策依据/口径说明;开票信息,税务岗/财务负责人
POL-TAX-002,税务合规,采购合同;服务合同,高,"专票;进项抵扣;不得抵扣;普票",抵扣资格与成本,如业务需要进项抵扣，合同应约定开具增值税专用发票的义务与时点；若对方仅能开普票或免税票据，应评估税负影响并在价格中体现，避免事后争议。,开票资质说明;发票类型约定;税负测算,税务岗/财务经理
POL-TAX-003,税务合规,服务合同,中,"跨境;境外;外汇;代扣代缴;预提税;非居民",跨境税务边界,涉及境外主体或跨境服务时，应明确服务发生地、税务居民身份、是否需代扣代缴及税费承担方式，并配套所需资料（合同、付款凭证、税收居民身份证明等），避免税务风险与外汇合规问题。,跨境条款截图;主体税务资料;代扣代缴口径;外汇材料清单,税务岗/财务负责人
POL-TAX-004,税务合规,采购合同;服务合同,中,"税率调整;政策调整;价税分离",政策变动处理,应约定税率政策调整时的价税处理原则（常见为“不含税价不变，税金随政策调整”），并明确调整生效的时间点与结算方式，减少争议与重开票成本。,税率调整条款截图;结算/补差流程,财务经理/税务岗
POL-TAX-005,税务合规,采购合同;服务合同,中,"发票抬头;开票信息;开票地址;税号;银行账号",开票信息一致性,开票信息应与公司资质一致并形成固定模板，避免因信息不一致导致退票/无法入账。涉及开票信息变更，应走内部审批与对方确认流程。,开票信息模板;变更审批记录,财务共享/税务岗

POL-ACC-001,会计核算,采购合同;服务合同,中,"验收;交付;里程碑;服务确认;SOW",收入/费用确认与可审计性,付款节点、验收与里程碑定义应可核验、可审计，避免出现“口头确认”“主观满意度”等不可量化标准。必要时将SOW/验收标准作为附件并纳入合同效力范围。,SOW/验收标准附件;里程碑清单;确认流程,财务经理/业务负责人
POL-ACC-002,会计核算,服务合同,中,"按工时;人天;工时单;Timesheet;驻场",成本归集与对账,按工时/人天计费应明确工时确认流程、审批人、对账周期与争议处理，并约定工时单/签到/工单等作为结算依据，降低结算争议与费用不实风险。,工时确认流程;工时单模板;对账记录,业务负责人/财务经理
POL-ACC-003,会计核算,采购合同;服务合同,低,"票据;入账;结算;对账单",入账完整性,结算应提供对账单/验收单/发票等闭环凭证，确保“合同-验收-发票-付款”链路一致，便于审计追溯与报销入账。,对账单;验收单;发票;付款审批单,财务共享

POL-PAY-001,资金支付,采购合同;服务合同,高,"付款条件;先付款;见票付款;见票即付;无条件付款",支付条件与控制,付款条件应至少包含可验证要素（验收合格/交付物清单/合规发票/对账确认）。对“无条件付款”“见票即付且不要求验收”的条款应要求补充控制条件或降低比例，防止资金损失。,付款条款截图;控制点清单;验收/对账要求,财务负责人
POL-PAY-002,资金支付,采购合同;服务合同,中,"付款周期;收到发票后N天;账期",资金计划与逾期风险,付款周期应与公司资金计划匹配并留有处理窗口（验票、对账、审批）。对过短账期或不合理的付款时限，应与业务协商调整或增加资料完整性前提。,付款周期条款截图;资金计划说明,财务经理
POL-PAY-003,资金支付,采购合同;服务合同,中,"分期付款;里程碑付款;尾款",降低履约风险,建议采用分期/里程碑付款并保留尾款，以形成履约约束。尾款释放应与最终验收、缺陷修复或质保条件绑定。,里程碑/付款计划;尾款释放条件,财务经理/业务负责人

POL-PROC-001,采购履约,采购合同,中,"验收;异议期;质保;视为验收",资产与费用确认,验收标准、异议期、质保起算点应清晰可执行，避免“视为验收”条款在质量问题未解决时损害甲方权益。对“默认验收”应补充例外与证据要求。,验收标准附件;异议流程;质保条款,业务负责人
POL-PROC-002,采购履约,采购合同,中,"交付;迟延;物流;风险转移",交付与风险控制,应明确交付地点、交付方式、风险转移时点与迟延责任（违约金/替代采购/解除条件），避免货损争议与交付不可控。,交付条款截图;物流/签收要求;迟延救济,采购负责人

POL-LEGAL-001,法务合规,采购合同;服务合同,高,"无限责任;惩罚性赔偿;放弃抗辩",责任上限与可保性,责任条款应设置合理上限并与可投保范围匹配；避免接受明显不对等的无限责任或惩罚性赔偿。对知识产权侵权等高风险点应约定补救流程与责任分担。,责任限制条款比对;可投保性评估（如适用）,法务
POL-LEGAL-002,法务合规,采购合同;服务合同,中,"单方解除;随时解除;提前通知解除;自动续期",解除与续期风险,解除条件应对等、明确且可执行。对单方随时解除、自动续期且缺少提前通知/退出机制的条款，应要求补充对等条件或退出窗口。,解除/续期条款截图;对等性改写建议,法务
POL-LEGAL-003,法务合规,采购合同;服务合同,中,"违约责任;间接损失;损失范围;可预见损失",损失边界,损失赔偿范围应明确（直接损失、可预见损失等）并排除过度扩张的间接损失（如商誉损失等，按业务可协商），减少不可控赔偿风险。,违约责任条款截图;风险测算,法务

POL-SVC-001,服务履约,服务合同,高,"SLA;可用性;数据;外包;分包;驻场",连续性与数据安全,服务合同应明确SLA/可用性指标、违约救济（减免费用/服务积分）、数据归属与删除、分包限制、驻场与远程访问安全要求。涉及数据处理时建议补充数据处理附录（DPA）与安全条款。,SOW;SLA附件;数据处理/安全附件;分包清单,信息安全/法务
POL-SVC-002,服务履约,服务合同,中,"保密;信息披露;商业秘密;日志留存",保密与留痕,保密条款应覆盖保密信息范围、例外、期限与违约责任。涉及系统运维/驻场的，应约定日志留存、访问审批与最小权限，便于追溯。,保密条款截图;访问/日志要求,信息安全/法务
POL-SVC-003,服务履约,服务合同,中,"数据归属;数据导出;删除;备份",数据资产保护,应明确数据归属、备份策略、合同终止后的数据导出与删除时限及验证方式，避免供应商锁定与数据遗失。,数据条款截图;导出/删除方案,信息安全/业务负责人
